start_date,Paragraph_number,Paragraph,Alternatives
1971-11-16,16,"(16) Assuming the tight end of the money market range for
alternative A/B, it is possible that the technical position of markets
will lead to an increase in interest rates over the near-term despite
the recent discount rate reduction. Factors that may put bill rates
under upward pressure have been noted in paragraph (10). In longer-
term markets, dealer and syndicate positions are large in the wake of
the recent Treasury financings and the sizable volume of municipal and
corporate bond offerings; and uncertainties as to the viability of the
announced wage-price program could result in nervous holders pressing
their inventories on the market. An easing on the money market toward
the lower end of the alternative A/B range would likely offset such a
tendency should it arise. And if the money market moved into the
alternative C range, the whole market would likely adjust downward in
yield, impelled in part by expectations of a further decline in the
discount rate.
Possible directive language
","alternative A, alternative A, alternative C"
1971-12-14,16,"(16) In long-term credit markets, fundamental forces working to hold
interest rates down appear strongest in the corporate and mortgage markets.
The corporate calendar appears to be moderating, and in the mortgage market
credit availability appears ample relative to demand. Even under alternative A,
interest rates in these two markets might not show any significant rise. The
rather large forward calendar of municipal issues and still sizable dealer
holdings of U.S. Government coupon issues make these two markets particularly
sensitive to any reversal of the easing trend in the money market. On the other
hand, if this easing trend were to be extended further, all bond markets
would certainly strengthen.
","alternative A"
1972-02-15,16,"(16) If the Committee were to adopt alternative B it could base
reserve operating targets on the levels and growth rates for reserves shown
earlier to be consistent with either patterns I, II, or III. The Committee
may also wish to allow, in operations, for the effects on reserve levels of
unanticipated changes in U.S. Government deposits, net interbank deposits,
and perhaps large CD's. The effect of anticipated changes in such deposits
was discussed in paragraph (11).
","alternative B"
1972-04-18,16,"(16) Alternative C. This language differs from that of alternative
A in the inclusion of the word ""more"" before ""moderate growth in monetary
aggregates."" It is proposed for possible use if the Committee decides to
pursue the more restrictive course contemplated by the specifications given
earlier for pattern II.
""To implement this policy, while taking account of
[DEL: international developments and possible] THE FORTHCOMING
Treasury financing, the Committee seeks to achieve bank
reserve and money market conditions that will support
MORE moderate growth in monetary aggregates over the
months ahead.""
BACKGROUND TO TECHNICAL CORRECTION OF RPD PATH
The correction affects the measured distribution of reserves held
behind private nonbank demand deposits (RPD) and net interbank deposits. The
target after correction represents what the staff would have presented at the
time of the March 21 FOMC meeting as consistant with pattern II aggregates if
the timing and extent to which foreign banking institutions were moving onto
PEPS had been known. The change in effect reduces the multiplier between
available reserves for private nonbank deposits and currently measured M 1.
The correction was necessary because of the accounting effect of the
recent transfer (on February 7 and March 13) to the PEPS system for clearing
international transactions of several foreign banking institutions which had
not yet been incorporated into our banking statistics. The staff did not
know the magnitude and exact timing of this transfer at the time of the
last FOMC meeting. As these foreign institutions joined PEPS, the effect
was to lower both cash items and net interbank deposits on the books of
member banks. In staff calculations of the distribution of reserves, this
would mean that reserves against net interbank deposits would decline and
required reserves against private demand deposits at member banks (gross demand
deposits less the now lower cash items) would rise by an equivalent amount,
thereby increasing the measured reserves available series. As noted above,
if the timing and extent of transfer had been known at the time of the last
FOMC meeting, the staff would have allowed for the effect in construction of
the reserve path presented at that meeting.
Incorporation of these institutions into the banking statistics
will, when we make our next annual revision, raise the measured level of the
money supply (unless offset, of course, by other benchmark changes). But the
data for the institutions that we have gathered indicates that there will be
virtually no effect on rates of change in money supply. In the annual
revision, a gradually decreasing level will be carried back over a number
of years.
Bank Reserves April 14, 1972
Reserves Available for Private Nonbank Deposits Aggregate Reserves Required Reserves
Seasonally Adjusted Not Seasonally Adjusted Seasonally Adjusted
Target and Actual Target and Actual Time U.S. Gov't.
Associated and Associated and Total Nonborrowed Private and and
Period Patterns / Proieted Patterns I/ Projected Reserves Reserves Demand Nondeposits Interbank
Annual Rates of Change
Quar terly:
1971--3rd Otr.
Mar. 1
8
Apr. 5
12
(11.0)
(13.5)
(26.0)
(21.5)
(25.5)
(20.0)
(4.0)
( 9.0)
introduction of the new PEPS system for clearing international transfers. These corrections, worked out in conjunction with the Federal Reserve
Bank of New York, are purely technical. The adjusted target represents what the staff would have presented at the time of the March 21 FOMC
meeting as consistent with Pattern II aggregates and money market conditions if the timing and extent to which foreign banking institutions were
moving onto PEPS had been known. The amount of correction is plus 1-1/2 percentage points at an annual rate for the March-April period. Thus,
the adjusted target indicates a 12-1/2 percent annual rate (mid-point of the range) for the two-month period, as compared with 11 percent in the
original target.
 .......... ..... . .... 
. .... ,..o.o,.,,.
.....  o°. .... °,...  o o °...oo 
......  °.°o.°oo,..°
.,..o. ...°.°.°o°. .oo oo
...°.°o°°.°o....o,°
...................... , ..... .,..,°..°o,,.°..
°°..,°.,o° .... .°.
 °,°°.,°o....° ....... o.o,....,.,.,.°. 6.°.o.: ::: : :: :: ::::: :
: ::
°,° .... °.o°°....,......°.°o.°.°o.o.°.
,,....o...°,...o,.°
o°,° ...... °..
 .°.o° .... ° .... o
 ,°... .o°.°, ... °.
 .°., ... .°.:::::::::::::::::::::::::::::!
 °°°.. .... ...... o....... °..° ......
°°.,oooo.,.,.° .......................
o°...°...,....ei.....H...i....o°...
o..o...o o...o
STRICTLY CONFIDENTIAL (FR)
. I'
Annual Growth Rates
in Pattern II 1/
M1
M2
Credit Proxy
(Adj.)
Mar.
11.0
10.5
","Alternative C, alternative
A"
1972-05-23,16,"(16) Possible language for the operational paragraph of the
directive is given below. The three alternative adjectives qualifying
""growth in monetary aggregates over the months ahead"" might be taken to
correspond with the similarly lettered patterns of aggregate growth
rates described in the preceding section.
""To implement this policy, [DEL: while taking account of
capital market developments and the forthcoming Treasury
financing,] the Committee seeks to achieve bank reserve and
(A - MODERATE )
money market conditions that will support (B - somewhat more moderate)
(C - MORE MODERATE )
growth in monetary aggregates over the months ahead.""
Deletion of the reference to capital market developments is proposed in
light of the recent and prospective moderation of credit demands in secur-
ities markets. The Committee may wish, however, to consider including the
capital markets reference--particularly under alternative C and possibly
B--in view of the possibility under these alternatives that strong upward
rate pressures could develop in longer-term markets.
Revised RPD Data
On May 18, the RPD series was released to the public; the series
will now appear weekly in two Board statistical releases and monthly in the
Bulletin. Weekly and monthly data are available back through 1960. The
published seasonally adjusted series differs somewhat from the previously
available internal figures as a result of technical adjustments undertaken in
the course of a thorough methodological review.
While, as before, seasonally adjusted RPD is based on seasonally
adjusted deposit aggregates, two technical adjustments were made to the data.
First, required reserve ratios were aggregated from micro data in order to adjust
ratios for the distribution of deposits below and above $5 million at each
bank, reflecting differences in reserve requirements. This changed the level
of the RPD series by about $30 million on average. Second, required reserves
for private demand and total time and savings deposits were calculated directly. 1/
In the old series, required reserves for net interbank and Treasury deposits
had been subtracted from total reserves to calculate RPD. 2/ This different
method of calculation reduced the level of RPD by about $350 million on
As indicated in the first three columns of the table on the next
page, the level of the new series is lower than for the old series.
Reserves Available to Support Private Nonbank Deposits
(Seasonally Adjusted)
Old New Old
Series Series Difference Series Se:
d (Millions of Dollars) (Percentage Annu
(2) (3) (4) (5)
S- - 11.3 11
-March
pril
ay / --
New
ries Target
al Rate of Change
(6) (7)
However, seasonally adjusted annual rates of change, shown in columns 5 and 6,
are not very different over quarters or even two month periods (see lines 6, 7,
increased at a seasonally adjusted annual rate of 11.3 per cent, while the new
series show a 10.8 per cent rate of growth.
Some month-to-month annual rates of change do show significant
differences between the two series, particularly in January and February of this
year. During the February-March period the new seasonally adjusted annual rate
of increase is a little above the target range, whereas under the old series it
January
February
March
April
May 1/
February
March-Al
April-Ma
Partly pi
(1)
(2)
(3)
(4)
(5)
(7)
(8)
(9)
Appendix -14-
was at the top of the range. This, of course, represents only a technical
change in relationship between deposits and reserves and does not in itself
imply any revision in deposit figures.
Annual Growth Rates mid-
way between Patterns I & II 1/
Apr. May OIl
M1  8 8-1/2 7-1/4
M2  8 7-1/2 7-1/2
Credit Proxy
(Adj.) 8-1/2 -2-1/2 5-1/4
RESERVES AND MONETARY VARIABLES May 19, 1972
(Seasonally adjusted, Billions of dollars)
Reserves Money Stock Measures Bank Credit Measures Other
Adjusted Total Time Thrift Non- U.S.
Non- M2  M3  Credit Loans and Total Other than Institution Deposit Gov't.
Period Total borrowed. Total Prv't Dep. Proxy Investments Time CD's Deposits CD's Funds Demand
Annually: (1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)
if iiiiiil i ii iIiiiiil illl 1 iiiiii !ff!i!i!!
............ ::::::::::::::::: p:: .: ' ::::: ii __ _
p - Preliminary.
CONFIDENTIAL (FR)Appendix Table II
","alternative a, alternative C"
1972-06-19,16,"(16) Alternative C.
""To implement this policy, while taking account of
capital market developments and possible Treasury [DEL: refunding]
FINANCING, the Committee seeks to achieve bank reserve and
money market conditions that will support [DEL: somewhat slower]
growth in monetary aggregates over the months ahead AT
SOMEWHAT SLOWER RATES THAN IN RECENT MONTHS.""
","Alternative C"
1972-08-15,16,"(16) Under alternative A, interest rates in longer-term markets
would probably remain relatively stable until late in the year. It is
likely that corporations, with relatively high liquidity and increased
emphasis on equity financing, private placements, and short-term borrowing,
will continue their relatively moderate pace of bond offerings, and
that State and local borrowings will remain below last year's high
Mortgage demands are expected to moderate in any event, both seasonally
and in line with the decline in housing starts. However, the increases
in money market rates associated with alternative B could produce an
earlier advance in long-term rates, and under alternative C the upward
movement in long rates would undoubtedly be both large and prompt. In
the latter circumstances investors would tend to withdraw from the market
to await anticipated higher yields and issuers could be expected to
accelerate offerings now planned for 1973. The tax-exempt market would
be adversely affected by reduced bank purchases, and the impact on the
mortgage market could be quite substantial as institutional lenders began
to experience a slowing of savings inflows in the context of a record volume
of outstanding commitments.
Proposed directives
","alternative A, alternative B, alternative C"
1973-01-16,16,"(15) Efforts to achieve the reserve and monetary aggregates
of alternative C are likely to entail an even greater firming of money
market conditions, with the Federal funds rate probably moving well
above 6 per cent by the time of the next meeting. The 3-month bill
rate would likely rise into the 5-3/4--6 per cent area, if not by the
time of the next meeting then by early March when additional cash borrowing
through tax bill offerings may be anticipated. If short-term rates attain
these levels, there may be a rather marked dampening in flows of consumer-
type time and savings deposits, which could eventually call into question
the viability of current Regulation Q ceilings on such deposits.
(16) If the Committee were to opt to restrain growth in
reserves and monetary aggregates with the result that money market
conditions firmed, even-keel considerations would again be a constraint
on the timing of policy actions. Sufficient time has been given for
distribution of the recent long-term bond offering so that it no longer
appears to require special consideration. However, on January 31 the
Treasury will announce terms for refunding $4.8 billion of publicly-held
obligations that mature in mid-February. It is too early to have an
idea as to the nature of the refunding, although it does seem unlikely
at this point that new cash will need to be raised or that the Treasury
will wish to offer another long bond so close to the recent offering.
Thus, a relatively conventional exchange with short- and intermediate-term
options seems most likely.
","alternative C"
1973-05-15,16,"(16) Under alternative C, which moves toward a lower long-run
growth rate for the aggregates, it would appear that the Federal funds
rate would probably have to rise above 8 per cent over the period imme-
diately ahead. Because of lags the main impact on M1 growth would not
occur until the third quarter, when--to achieve the 4--4-1/2 per cent
long-run objective--M1 growth would have to fall to a 3 per cent annual
rate. M2 growth also would slow sharply, given the significantly higher
short-term rates and assuming no increase in Regulation Q ceilings for
consumer-type time deposits. Given the low growth rates for the aggre-
gates expected for the third quarter under this alternative, the Committee may
find it necessary to ease money market conditions in the course of summer
if it desires to stay on the longer-run growth paths of alternative C
Proposed directive
","alternative C, alternative C"
1973-06-18,16,"(16) Presented below are three alternative formulations for the
operational paragraph of the directive, which might be taken to correspond
to the similarly lettered policy alternatives discussed in the preceding
section. For all three alternatives it is proposed to delete the reference
to international developments because the speculative pressures in exchange
markets since shortly before the last meeting have not caused special
operating problems for the Desk. Retention of the reference to domestic
financial market developments is proposed in both alternatives B and C,
because both involve the possibility of a significant tightening of the
money market. As will be noted, both alternatives B and C refer to the
aggregate growth rates ""indicated for the first half of the year."" Including
current estimates for June, these are as follows: M1, 5.5 per cent;
M2, 7.5 per cent; and the bank credit proxy, 13.5 per cent.
Alternative A
To implement this policy, [DEL: while taking account of
international and domestic financial market developments,] the
Committee seeks to achieve bank reserve and money market con-
ditions consistent with MODERATE [DEL: somewhat slower] growth in
monetary aggregates over the months immediately ahead [DEL: than
occurred on average in the past 6 months].
Alternative B
To implement this policy, while taking account of
[DEL: international and] domestic financial market developments, the
Committee seeks to achieve bank reserve and money market
conditions consistent with somewhat slower growth in
monetary aggregates over the months immediately ahead [DEL: than
occurred on average in the past 6 months] APPEARS INDICATED
FOR THE FIRST HALF OF THE YEAR.
Alternative C
To implement this policy, while taking account of
[DEL: international and] domestic financial market developments, the
Committee seeks to achieve bank reserve and money market con-
ditions consistent with [DEL: somewhat] slower growth in monetary
aggregates over the months immediately ahead than [DEL: occurred on
average in the past 6 months] APPEARS INDICATED FOR THE FIRST
HALF OF THE YEAR.
STRICTLY CONFIDENTIAL (FR)
6/15/73
RESERVES AVAILABLE TO SUPPORT
PRIVATE NONBANK DEPOSITS
BILLIONS OF DOLLARS
M A M
1973
M J S D M J S D
1973
* Break in Series Actual Level of RPD After ReprodLction in Reserve Requirements Effective November 9, 3972
STRICTLY CONFIDENTIAL
---------------------
BANK RESERVES
(ACTUAL AND CURRENT PROJECTIONS)
JUNE 15, 1973
---------------------------------- ft----------------------------w-- ------------------ -.
I I AGGREGATE RESERVES I REQUIRED RESERVES
I RESERVES AVAILABLE FOR 11 -.----- ------------- --- m------- ----------. ... . .-
I PRIVATE NONRANK DEPOSITS II SEASONALLY ADJUSTED
I--------------------- ------- I
I SEAS ADJ 1 NON SEAS AOJ II
TOTAL NONBORROWED I
RESERVES RESERVES I
PRIVATE
DEMAND
OTHER CD'S AND GOV'T AND
TIME DEP NON DEP INTERBANK
S (1) I
MONTHLY LEVELS-SMILLIONSI
-----------------------I I
ANNUAL RATES OF CHANGE
***---------------**
QUARTERLYI
- -* - -I I
I I
MONTHLY I
1973--JAN. I 22.4
FEB. I -4.7
MAR. I 13.4
APR. I 9.6
MAY 9.6
JUNE 1 12.5)
MAY-JUNE I 11.01
WEEKLY LEVELS-SMILLIONS
---------------------- I I
MAR. 7 I 29.850
14 I 29*296
21 I 29.676
28 I 29451 I
I I
APR. 4 I 3012 I
I I
MAY 2 I 30*120
I I
JUNE 6 309481
(2) II
It
II
II
II
II
II
II
II
II
I I
II
II
II
II
( -3.5)
","Alternative A, Alternative B, Alternative C"
1973-08-21,16,"(16) Looking to all three money concepts, by the fourth quarter M1
is indicated to be expanding at a 3-1/2 per cent annual rate under alternative B,
while M2 and M3 growth is expected to be around 5-1/2 and 6 per cent,
respectively. For M2 and M3, these would be lowest quarterly growth rates
since early 1970.
","alternative B"
1973-11-19,16,"(16) In long-term markets, a relatively large volume of new
corporate and state and local government bond issues are expected to be
offered between now and the mid-December holiday lull. As a result, bond
yields may come under some upward pressure under alternative B, upward
rate pressure would be considerably greater under alternative C. The
energy crisis could augment upward rate pressures by increasing inflationary
expectations and/or by stimulating anticipations of additional real
capital investment.
Proposed directive
","alternative B, alternative C"
1974-05-21,16,"(16) With the money market conditions assumed under alternative
A, the staff would expect M1 growth in May-June to be in a 5-7 per cent
range. The mid-point of this range, if attained, would produce a 6¾ per
cent annual growth rate in the second quarter. Growth would be expected
to slow somewhat in the third quarter to about a 5¾ per cent rate, as
demand for money is further restrained by lagged impacts of the sharp
rise in short-term interest rates over the past few months.
","alternative
A"
1974-06-18,16,"(16) In the event that the Committee again wishes to couch
the operational paragraph of the directive in terms of money market
conditions, the specifications of alternative B might be associated
with the language used in the directive adopted at the last meeting--
namely, that ""...the Committee seeks to maintain about the prevailing
restrictive money market conditions, provided that the monetary aggre-
gates appear to be growing at rates within the specified ranges of
STRICTLY CONFIDENTIAL (FR)
RESERVES AVAILABLE TO SUPPORT
PRIVATE NONBANK DEPOSITS
BILLIONS OF DOLLARS
l40
M A M
STRICTLY CONFIDENTIAL
RANK RESERVES
(ACTUAL AND CURRENT PROJECTIONS)
JUNE 14, 1974
I AFGPFGATF RESERVES I REQUIRED RESERVES
RESERVES AVAILAPLE FOR ----------- ------------------------------------------
PRIVATE NONBANK DEPOSTTS I SEASONALLY ADJUSTED
I i-------------------------------------------------------------------
--------------------------- TOTAL NONBORROWED I PRIVATE OTHER CD'S AND GOV'T AND
PEROD I SEAS ADJ I NON SEAS ADJ I RESERVES RESERVES I DEMAND TIME DFP NON DEP INTERBANK
I fl) I (7?) 1 (3) (4) | (51 (6) (7) (8)
I
MONTHLY LEVFLS-SMILLTONSI
----- --------- I
ANNUAL RATFS
MONTHI
1974-
WEEKLY LEVELS-
--------------
MAY
JUN.
OF CHANGE
---- IERLY:
LY:
-MAR.
APR.
MAY
JUN.
-SMTLLTCNS
------- I-
MAY 1
8 I
I
JUN. 5 I
( -7.P)
( 8,794)
( 10.0)
( 9.0)
( 5379)
(' 1,915)
NOTF: DATA SHOWN IN PARENTHESES ARE CURRENT PROJECTIONS. AT THE FOMC MFFTING OF MAY 21, 1974
TuE COMMITTEE AGREED ON A RPO RANGE OF 13 TO 20 PERCENT FOR THE MAY-JUNE PERIOD.
TABLF 1
STRICTLY CONFIDENTIAL
JUNE 14, 1974MONETARY AGGREGATES
(ACTUAL AND CURRENT PROJECTIONS, SEASONALLY ADJUSTED)
I MONEY SUPPLY I ADJUSTED I U.S. I TIMF AND SAVINGS DFPOSITS I NONDFPOSIT
I NARROW I BROAD I CREDTT II GOVT. I I THER I I SOURCES OF
PERIOD I (M1) I (M2) I PROXY II DEPOSITS I TOTAL I THAN CD S I CD S I FUNDS
MONTHLY LEVELS-SPTLLTONSI
------------------------ I
PERCENT ANNUAL GROWTH
--------------------- I
MONTHLY I
----- - I
WFEKLY LEVELS-SPTLLIONS
----------------------- I
MAY 1
8
JUN. 5 P
12 PFI
I (7) I (8)(1) (2) (3) (4) (5)
I I II I
I I II I
I I 11I
( 8.2) I 9.7) (10.5) (13.1)
( 6.7) ( 7.6) (13.8 (18.1)
I I II I
I I II I
I I II I
( 8.5)
-- - - - - - - - - - - - - - - - - -------------------'--- --- -- -- - - - - - -- - - - - - - -- - - - - --- - - - - - -
STRICTLY CONFIDENTIAL (FR)
JUNE 14, 1974
STRICTLY CONFIDENTIAL (FR)
","alternative B"
1974-07-16,16,"(16) Presented below are three alternative formulations
for the operational paragraph of the directive, which are intended
to correspond to the similarly lettered policy alternatives discussed
in the preceding section. For all three alternatives, it is proposed
to include a reference to Treasury financing because the regular August
refunding will be announced on July 31.
Alternative A
To implement this policy, while taking account of THE
FORTHCOMING TREASURY REFUNDING AND OF developments in domestic
and international financial markets, the Committee seeks to
[DEL: maintain about the prevailing restrictive] ACHIEVE BANK RESERVE
AND money market conditions [DEL: provided that] CONSISTENT WITH
GROWTH IN the monetary aggregates AT ABOUT THE RATES PREVAILING
OVER RECENT MONTHS [DEL: appear to be growing at rates within the
specified ranges of tolerance].
Alternative B
To implement this policy, while taking account of THE
FORTHCOMING TREASURY REFUNDING AND OF developments in domestic
and international financial markets, the Committee seeks to
[DEL: maintain the prevailing restrictive] ACHIEVE BANK RESERVE
AND money market conditions [DEL: provided that the] THAT WOULD
MODERATE GROWTH IN monetary aggregates OVER THE MONTHS AHEAD
[DEL: appear to be growing at rates within the specified ranges of
Alternative C
To implement this policy, while taking account of THE
FORTHCOMING TREASURY REFUNDING AND OF developments in domestic
and international financial markets, the Committee seeks to
[DEL: maintain about the prevailing restrictive] ACHIEVE BANK RESERVE
AND money market conditions [DEL: provided that the] THAT WOULD SLOW
APPRECIABLY THE GROWTH IN monetary aggregates OVER THE MONTHS
AHEAD [DEL: appear to be growing at rates within the specified ranges
of tolerance].
","Alternative A, Alternative B, Alternative C"
1974-08-20,16,"(16) Presented below ate three alternative formulations
for the operational paragraph of the directive, which are intended to
correspond to the similarly lettered policy alternatives discussed
in the preceding section. In all three alternatives, it is proposed
to delete the reference to Treasury financing because the quarterly
refunding announced on July 31 has been completed.
Alternative A
To implement this policy, while taking account of {DEL: the
forthcoming Treasury refunding and of] developments in domestic
and international financial markets, the Committee seeks to
achieve bank reserve and money market conditions [DEL: that would
moderate] CONSISTENT WITH SOMEWHAT FASTER growth in monetary
aggregates [DEL: over the months ahead] THAN HAS PREVAILED OVER RECENT
Alternative B
To implement this policy, while taking account of [DEL: the
forthcoming Treasury refunding and of] developments in domestic
and international financial markets, the Committee seeks to
achieve bank reserve and money market conditions [DEL: that would]
CONSISTENT WITH moderate growth in monetary aggregates over
the months ahead.
Alternative C
To implement this policy, while taking account of [DEL: the
forthcoming Treasury refunding and of] developments in domestic
and international financial markets, the Committee seeks to
achieve bank reserve and money market conditions [DEL: that would
moderate] CONSISTENT WITH RELATIVELY SLOW growth in monetary
aggregates over the months ahead.
","Alternative A, Alternative B, Alternative C"
1974-09-10,16,"(16) Presented below are three alternative formulations for
the operational paragraph of the directive, which are intended to
correspond to the similarly lettered policy alternatives discussed in
the preceding section. As will be noted, alternative A refers to the
rate of growth in monetary aggregates ""over recent months."" Over the
second quarter and the first 2 months of the third quarter, growth rates
were 4.8 and 7.1 per cent for M1 and M2, respectively.
Alternative A
To implement this policy, while taking account of
developments in domestic and international financial markets,
the Committee seeks to achieve bank reserve and money market
conditions consistent with A HIGHER RATE OF [DEL: moderate] growth in
monetary aggregates [DEL: over the months ahead] THAN HAS PREVAILED
OVER RECENT MONTHS.
Alternative B
To implement this policy, while taking account of
developments in domestic and international financial markets,
the Committee seeks to achieve bank reserve and money market
conditions consistent with moderate growth in monetary aggregates
over the months ahead.
Alternative C
To implement this policy, while taking account of
developments in domestic and international financial markets,
the Committee seeks to achieve bank reserve and money market
conditions consistent with MODEST [DEL: moderate] growth in monetary
aggregates over the months ahead.
STRICTLY CONFIDENTIAL (FR)
9/6/74
MONETARY AGGREGATES
ADJUSTED CREDIT PROXY
r
BILLIONS OF DOLLARS
____I I I I I I
TOTAL RESERVES
STRICTLY CONFIDENTIAL
BANK RESERVES SEPTEMBER 6, 1974
(ACTUAL AND CURRENT PROJECTIONS)
II AGGREGATE RESERVES I REQUIRED RESERVES
RESERVES AVAILABLE FOR II --------------------------------------------------------
S PRIVATE NONBANK DEPOSITS f SEASONALLY ADJUSTED
SI----------------------------------------------- --- ----------
--------------------------- TOTAL NONBORROWFD I PRIVATE OTHER CD'S AND GOVT AND
PERIOD SEAS ADJ I NON SEAS ADJ I RESERVES RESERVES I DEMAND TIME DEP NON DEP INTERBANK
I (1) I (2) II (3) (4) I (5) (6) (7) 18
1 (1) 1 (2) 11 (3 (4) (5) (6) (7) 181
MONTHLY LEVELS-SMILLIONSI
---------------- )
ANNUAL RATES OF CHANGE
----------- -
MONTHLY:
1974--JUN.
JUL.
AUG.
SEP.
WEEKLY LEVELS-SMILLICNS
----------------- I
SEP. 4
( 8.81
(37,269)
(37,442)
I 7.7)
S 3.0)
( -2.6)
( 1.51
I 8,997)
( 9,072)
( 17.7)
( 10.0)
( 13.9)
( 5.737)
I 5,840)
( 1,904)
( 1,882)
STRICTLY CONFIDENTIAL
SEPTEMBER 6, 1974MONETARY AGGREGATES
(ACTUAL AND CURRENT PROJECTIONS, SEASONALLY ADJUSTED)
I MONEY SUPPLY I ADJUSTED II U.S. I TIME AND SAVINGS DEPOSITS I NONDEPOSIT
I NARROW I BROAD I CREDIT II GOVT. I I OTHER I I SOURCES OF
PERIOD I (Ml) I IM21 I PROXY II DEPOSITS I TOTAL I THAN CD S I CD S I FUNDS
(1) I (2) (3) 11 (4) I (5)
MONTHLY LEVELS-SBILLIONS
-- ------ I -I----- I If I
PERCENT ANNUAL GROWTH I
- - -- - --------- I I I II I
QUARTERLY I I I I
---- I I I II I
AUG.-SEP. I 2.6) ( 5.8) ( 7.3) ( 6.7)
WEEKLY LEVELS-SBILLIONS I
---------------------- I I I II I
(6) I (7) I (8)
I I I
I I I
(9.4)
( 7.5)
( 8.5)
-- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - ---------- --------------------------------""- "" ' ~ '' ""- - ' "" - ""- ' "" -- "" "" "" ""
--- -------- --------------- ------- ------------------------- --------- --- ------~""""""~""~'~ """" "" ' "" - ' "" "" "" ' ""~"" ""~~
STRICTLY CONFIDENTIAL (FR)
STRICTLY CONFIDENTIAL (FR)
SEPTEMBER 6, 1974
STRICTLY CONFIDENTIAL (FR)
SEPTEMBER 6, 1974
","alternative A, Alternative A, Alternative B, Alternative C"
